iter	MultiClass
145	0.3758386142
146	0.3755184394
147	0.3750940857
148	0.3747365032
149	0.3740554743
150	0.3737355773
151	0.3732444956
152	0.372716121
153	0.3721162816
154	0.3716062441
155	0.3710718958
156	0.3707762747
157	0.3701684825
158	0.3698605302
159	0.3695427295
160	0.3693231245
161	0.3684590307
162	0.3680820779
163	0.3678316669
164	0.3675277685
165	0.3672490048
166	0.3670964663
167	0.366813152
168	0.3665095476
169	0.3661382877
170	0.3655999172
171	0.3650868069
172	0.3646219315
173	0.3643333159
174	0.3641194046
175	0.363920765
176	0.3635122773
177	0.3632264823
178	0.3629445304
179	0.3626864683
180	0.3625023369
181	0.3617812254
182	0.360983435
183	0.3607898268
184	0.3605237554
185	0.3603237335
186	0.3600860063
187	0.3599010652
188	0.359526696
189	0.3593336903
190	0.3591175794
191	0.3583364245
192	0.3580407036
193	0.3578470939
194	0.3572731767
195	0.3569770018
196	0.3566471025
197	0.356382813
198	0.3561498309
199	0.3559267959
200	0.3553610253
201	0.355164545
202	0.3549374317
203	0.3547751388
204	0.3545570254
205	0.3544964127
206	0.3543579113
207	0.3541223358
208	0.353915388
209	0.3537655095
210	0.3533522119
211	0.3531305203
212	0.3529125895
213	0.3525570935
214	0.3521576542
215	0.3519271311
216	0.3513431148
217	0.351033587
218	0.3507861861
219	0.3505869166
220	0.3502254768
221	0.3500207146
222	0.3498503543
223	0.3496808486
224	0.3489382495
225	0.3486143007
226	0.3485212125
227	0.3483252839
228	0.3480083551
229	0.3479543184
230	0.3476734027
231	0.3474327002
232	0.3473187736
233	0.3471334569
234	0.3469140544
235	0.3467668108
236	0.3466193491
237	0.346419997
238	0.346290317
239	0.3461614136
240	0.3456962437
241	0.3453110314
242	0.3450340545
243	0.3447199116
244	0.3445951125
245	0.3441953446
246	0.3440158556
247	0.3438619083
248	0.3436700129
249	0.3435278164
250	0.3430780544
251	0.3428790701
252	0.3427906689
253	0.3426795804
254	0.3426566531
255	0.3424503215
256	0.3422117958
257	0.3421289968
258	0.3419948112
259	0.341865798
260	0.3414110809
261	0.3410444592
262	0.3409638797
263	0.3407724764
264	0.3403910416
265	0.3402768864
266	0.340058717
267	0.3399250626
268	0.3397810334
269	0.3396407144
270	0.3395598292
271	0.3390589072
272	0.3388585449
273	0.3387385617
274	0.338631289
275	0.3384052976
276	0.338349684
277	0.3382629429
278	0.33803875
279	0.3379428125
280	0.3377717595
281	0.3376726459
282	0.3375929437
283	0.3374995322
284	0.3372139026
285	0.3370943118
286	0.3369107039
287	0.3368463856
288	0.3365825565
289	0.3364279761
290	0.3363571659
291	0.3362980629
292	0.3361192485
293	0.3359931942
294	0.3359550582
295	0.3359078535
296	0.33561622
297	0.3355023506
298	0.3352056602
299	0.3351307858
300	0.3350320892
301	0.3349792928
302	0.3348917816
303	0.3348108272
304	0.334750887
305	0.3346535399
306	0.3345704954
307	0.3344324619
308	0.3343526352
309	0.3342388019
310	0.3341766597
311	0.334149148
312	0.3340875244
313	0.3337392773
314	0.333656591
315	0.3334692026
316	0.3333353298
317	0.3332590577
318	0.3329205465
319	0.3328238585
320	0.3327364116
321	0.3326385191
322	0.3325888465
323	0.3325271552
324	0.3323996224
325	0.3323650184
326	0.3322129056
327	0.3320730746
328	0.3320278737
329	0.3320217709
330	0.3319506331
331	0.3318608332
332	0.3317934285
333	0.3316583106
334	0.33160241
335	0.3311084377
336	0.3310737689
337	0.3310050416
338	0.330948675
339	0.3308575395
340	0.3307770916
341	0.3307040469
342	0.330501266
343	0.3303704576
344	0.3303318902
345	0.3302724016
346	0.330159358
347	0.3300283448
348	0.3299603894
349	0.3298979944
350	0.3298492959
351	0.3297659837
352	0.3296898173
353	0.3294986191
354	0.3292564576
355	0.3292015944
356	0.3291188401
357	0.3289673333
358	0.3288901651
359	0.3287267735
360	0.328650969
361	0.3285810616
362	0.3285049843
363	0.3284923186
364	0.3284276387
365	0.328384758
366	0.3283657763
367	0.3281214655
368	0.3280547594
369	0.3279629823
370	0.3278623297
371	0.3277007074
372	0.3274076048
373	0.3272995814
374	0.3272486936
375	0.3269985922
376	0.3269633582
377	0.3268332466
378	0.3267676713
379	0.3267010049
380	0.3266611497
381	0.3266180882
382	0.3265448675
383	0.3264971007
384	0.3264760747
385	0.3262880035
386	0.3262340222
387	0.3261796475
388	0.326148176
389	0.3258749182
390	0.3257961928
391	0.3257553541
392	0.3257309775
393	0.3256594334
394	0.325545063
395	0.3254625877
396	0.3254411846
397	0.3254127669
398	0.3253613459
399	0.3253265771
400	0.3252918922
401	0.325216444
402	0.3251849099
403	0.3251148981
404	0.3250752578
405	0.3250271451
406	0.3249566268
407	0.324911771
408	0.3248898439
409	0.3248494549
410	0.3248083704
411	0.3246509154
412	0.3246226944
413	0.3246058146
414	0.3245833038
415	0.3245156867
416	0.324488629
417	0.3244057071
418	0.3243710299
419	0.3242925226
420	0.3242524497
421	0.3242374625
422	0.3242208006
423	0.3241297868
424	0.3240779354
425	0.3240405891
426	0.3239969074
427	0.3239722593
428	0.3239411068
429	0.323901842
430	0.3238750753
431	0.3238373518
432	0.3238140255
433	0.3237044317
434	0.3236584709
435	0.3236296019
436	0.323560748
437	0.3235530574
438	0.3235067563
439	0.3234809388
440	0.3234711204
441	0.3234308586
442	0.323410032
443	0.32335928
444	0.3233093024
445	0.3232964642
446	0.3232603966
447	0.3232087374
448	0.3231968648
449	0.3231687129
450	0.3231363873
451	0.323113643
452	0.3230699509
453	0.3230420842
454	0.3229912382
455	0.3229542272
456	0.3229308637
457	0.3227753137
458	0.3227395673
459	0.3226949096
460	0.3225339209
461	0.322518131
462	0.3225019085
463	0.3224890709
464	0.3224557252
465	0.3224482131
466	0.3223877638
467	0.3223304282
468	0.3223147061
469	0.3221900387
470	0.3221659562
471	0.3221171867
472	0.3221048734
473	0.3220646643
474	0.3220445543
475	0.3218849448
476	0.3218507023
477	0.3218391411
478	0.3218160688
479	0.3218029147
480	0.3217720392
481	0.3217343428
482	0.3216821683
483	0.3216555574
484	0.3215866886
485	0.3214704547
486	0.3212869523
487	0.3212688477
488	0.3212532472
489	0.3212402566
490	0.3211862516
491	0.3211772373
492	0.3211090645
493	0.3210825666
494	0.3210406101
495	0.321014402
496	0.3210030035
497	0.3209692076
498	0.320894915
499	0.3208817863
500	0.3208531762
501	0.3208360377
502	0.3207929361
503	0.3207858695
504	0.3207639032
505	0.3207619509
506	0.3207331116
507	0.3207117603
508	0.3206472576
509	0.3206132372
510	0.3205840479
511	0.3205528417
512	0.3205300268
513	0.3205112829
514	0.3205083091
515	0.3204956613
516	0.3204866386
517	0.3204510329
518	0.3204027484
519	0.320369364
520	0.320307942
521	0.3202693222
522	0.3201759677
523	0.3201531149
524	0.3201240209
525	0.3200850069
526	0.320059542
527	0.320048734
528	0.3200135635
529	0.3199926603
530	0.3199796415
531	0.3199561676
532	0.3198485241
533	0.3195084726
534	0.3194791852
535	0.3194230803
536	0.3194164856
537	0.3193667892
538	0.31934816
539	0.3193077929
540	0.3192868225
541	0.3192776856
542	0.3192615371
543	0.3192353737
544	0.3192315913
545	0.319211001
546	0.3192083051
547	0.3192011734
548	0.3191888328
549	0.3191818036
550	0.3191646193
551	0.3191640381
552	0.3191169376
553	0.3190724297
554	0.3190719066
555	0.3190561086
556	0.3189963522
557	0.3189951913
558	0.3189800566
559	0.3189760831
560	0.3189613257
561	0.3189384491
562	0.3189130346
563	0.3188945917
564	0.318873644
565	0.3188650951
566	0.3187144836
567	0.3185851128
568	0.318557984
569	0.3185574053
570	0.3185342972
571	0.3183575382
572	0.318350595
573	0.3183166079
574	0.3182283779
575	0.3182152787
576	0.3181889175
577	0.318170262
578	0.3181315762
579	0.3181228052
580	0.3180979747
581	0.3180826804
582	0.3180125676
583	0.3179945183
584	0.3179730433
585	0.3179638081
586	0.3179476002
587	0.3179436661
588	0.3179414166
589	0.3179287812
590	0.317918924
591	0.3179117141
592	0.3176747972
593	0.3176634803
594	0.3176558681
595	0.3175987559
596	0.3175739792
597	0.3175730383
598	0.3175692631
599	0.3174857692
600	0.3174825282
601	0.317459902
602	0.317388871
603	0.3173835523
604	0.3173618194
605	0.31734179
606	0.3173164858
607	0.3173100187
608	0.3172846535
609	0.3172722646
610	0.3172120974
611	0.3171469082
612	0.3171440904
613	0.3171382334
614	0.3171348727
615	0.3170880588
616	0.3170545089
617	0.3170393422
618	0.317004388
619	0.3169930459
620	0.3169796694
621	0.3169521707
622	0.3169459137
623	0.3169413495
624	0.3169325148
625	0.3168893658
626	0.3168795527
627	0.3168631201
628	0.3168366942
629	0.3168333348
630	0.3167929384
631	0.3167575045
632	0.3167508287
633	0.3167490196
634	0.3167473733
635	0.3167325742
636	0.3167209171
637	0.3167041519
638	0.3166969531
639	0.3166916208
640	0.3166792357
641	0.3166759059
642	0.3166499829
643	0.3166386738
644	0.3166263465
645	0.3166165322
646	0.3166086624
647	0.3165976094
648	0.3165679564
649	0.3165460391
650	0.3164535169
651	0.3164490327
652	0.3164446696
653	0.3164370461
654	0.3164360099
655	0.3164208121
656	0.3164081313
657	0.3163877588
658	0.3163852794
659	0.3163474638
660	0.3163051094
661	0.3162968352
662	0.3162776505
663	0.3162688289
664	0.3162622709
665	0.3162573569
666	0.3162508169
667	0.3162473921
668	0.3162454259
669	0.3162341398
670	0.3162274904
671	0.3162160658
672	0.3162073797
673	0.3161917732
674	0.3161786553
675	0.3161719328
676	0.316151524
677	0.31615094
678	0.3161364075
679	0.3160435047
680	0.316019412
681	0.3160193514
682	0.3160098934
683	0.3159891131
684	0.3159363899
685	0.3159313431
686	0.3159269914
687	0.3159183015
688	0.3158596892
689	0.315837383
690	0.3158336076
691	0.3158314761
692	0.3158287712
693	0.3158161432
694	0.3157714825
695	0.3157336781
696	0.3157196857
697	0.3157192342
698	0.3156922588
699	0.3156743388
700	0.3156688409
701	0.3156372061
702	0.3155567728
703	0.315556491
704	0.3155548434
705	0.3155126728
706	0.3155095473
707	0.315501992
708	0.3154750228
709	0.3153556847
710	0.3153512222
711	0.315345299
712	0.3153380952
713	0.3153380817
714	0.315327926
715	0.315321913
716	0.3153114123
717	0.3152965845
718	0.3152930788
719	0.3152788181
720	0.3152546963
721	0.3152461085
722	0.3152436456
723	0.3152392891
724	0.3152175976
725	0.3152072487
726	0.315203966
727	0.3152019178
728	0.3151886825
729	0.3151886798
730	0.315181129
731	0.3151670439
732	0.3151491099
733	0.3151354851
734	0.3151347452
735	0.3151276793
736	0.315127083
737	0.3151264143
738	0.3151187211
739	0.3151107863
740	0.3150896944
741	0.315068157
742	0.3150638924
743	0.3150584304
744	0.3150497054
745	0.3150478857
746	0.3150422897
747	0.3150399609
748	0.3150259438
749	0.3150189533
750	0.315009045
751	0.3150053738
752	0.3150040539
753	0.3149947098
754	0.3149890146
755	0.314959412
756	0.3149561883
757	0.3149542389
758	0.314947526
759	0.3149401817
760	0.3149397439
761	0.3149383824
762	0.3149363957
763	0.3149319783
764	0.314926283
765	0.3149119649
766	0.314905221
767	0.3148950542
768	0.3148918205
769	0.3148837963
770	0.3148800823
771	0.3148708587
772	0.314870595
773	0.3148597961
774	0.3148574163
775	0.314856412
776	0.3147359695
777	0.3147359223
778	0.3147324895
779	0.3147245007
780	0.314723006
781	0.3147135742
782	0.3147080319
783	0.3147034339
784	0.314695742
785	0.314684468
786	0.314678855
787	0.3146736765
788	0.3146565149
789	0.3146361133
790	0.3146320068
791	0.3146186549
792	0.3146171207
793	0.314602798
794	0.3145933279
795	0.3145892257
796	0.3145837048
797	0.3145830551
798	0.3145810801
799	0.3145794229
800	0.3145733352
801	0.314558624
802	0.3145561897
803	0.3145280578
804	0.3145279289
805	0.3145268211
806	0.3145236574
807	0.3145203055
808	0.3145151185
809	0.3145040699
810	0.3145007434
811	0.3144923312
812	0.3144898578
813	0.3143956413
814	0.3143692781
815	0.3143678296
816	0.3143623558
817	0.3143436585
818	0.3143375072
819	0.3143367019
820	0.3143184263
821	0.3143146689
822	0.3143120256
823	0.3143077787
824	0.3143056395
825	0.3142957045
826	0.3142890047
827	0.3142876832
828	0.3142808555
829	0.3142714414
830	0.3142705266
831	0.314199955
832	0.314196202
833	0.3141907192
834	0.314186685
835	0.3141842332
836	0.3141729678
837	0.3141532282
838	0.3141418236
839	0.3141356058
840	0.31413527
841	0.3141304267
842	0.3141243798
843	0.3141175041
844	0.3140713698
845	0.314068889
846	0.314064292
847	0.3140486207
848	0.3140468542
849	0.3140407667
850	0.3140395317
851	0.3140392835
852	0.3140387835
853	0.3140259133
854	0.314023293
855	0.3140196915
856	0.3140170732
857	0.3140168967
858	0.3140134086
859	0.3140132529
860	0.3139974971
861	0.3139352552
862	0.3139306595
863	0.3139185242
864	0.3139174538
865	0.3139143956
866	0.3139119276
867	0.3139004377
868	0.3138937772
869	0.3138882869
870	0.3138757555
871	0.3138666175
872	0.3138124522
873	0.3138112025
874	0.3138063595
875	0.3138052443
876	0.3138043854
877	0.3136973806
878	0.313697046
879	0.3136521354
880	0.3136515138
881	0.3136423908
882	0.3136116311
883	0.3136050574
884	0.3136029053
885	0.3136021282
886	0.3136004977
887	0.3135874293
888	0.3135867484
889	0.3135824527
890	0.3135812416
891	0.3135808254
892	0.3135782012
893	0.3135753122
894	0.313566962
895	0.3135636202
896	0.3135627155
897	0.31356066
898	0.3135548056
899	0.3135503962
900	0.3135381657
901	0.3135308674
902	0.3135144071
903	0.3135131156
904	0.3135110137
905	0.3135071383
906	0.3134775605
907	0.3134762942
908	0.3134725162
909	0.3134696784
910	0.3134676721
911	0.3134642092
912	0.313463256
913	0.3134619836
914	0.3134552067
915	0.3134509515
916	0.3134505035
917	0.3134480878
918	0.3134473766
919	0.3134453089
920	0.3134451467
921	0.3134435812
922	0.3134426345
923	0.3134406107
924	0.3134399027
925	0.3134396198
926	0.3134326715
927	0.3134288962
928	0.3134184524
929	0.3134119819
930	0.3134097095
931	0.3134094289
932	0.3133938813
933	0.3133894762
934	0.3133882768
935	0.3133578068
936	0.3133567815
937	0.3133534686
938	0.3133519075
939	0.3133413103
940	0.3133378603
941	0.313334323
942	0.3132948225
943	0.3132931891
944	0.3132794522
945	0.3132696476
946	0.3132694771
947	0.313256569
948	0.3132521035
949	0.313251041
950	0.3132435449
951	0.3132392585
952	0.3132380813
953	0.3132380197
954	0.3132261
955	0.3132254701
956	0.3132218724
957	0.3132157924
958	0.3132146537
959	0.3131964764
960	0.3131680509
961	0.3131630338
962	0.3131569954
963	0.3131569469
964	0.3131566787
965	0.3131542489
966	0.3131542211
967	0.3131518855
968	0.3131461406
969	0.3131369602
970	0.3131327239
971	0.3131314058
972	0.3131129843
973	0.3131121285
974	0.3131099107
975	0.3131080489
976	0.3129352588
977	0.3129334607
978	0.3129253856
979	0.3129048447
980	0.3129047982
981	0.3129040417
982	0.312886548
983	0.3128865
984	0.3128860775
985	0.3128846263
986	0.3128802781
987	0.3128788332
988	0.3128783823
989	0.3128762792
990	0.3128760024
991	0.3128702292
992	0.3128659208
993	0.3128630291
994	0.3127265913
995	0.3127256289
996	0.3127180339
997	0.3127178727
998	0.3127111296
999	0.3127104676
